  CALL    scripts/checksyscalls.sh
  LDS     scripts/module.lds
  CC [M]  arch/arm64/crypto/sha512-ce-glue.o
  AS [M]  arch/arm64/crypto/sha512-ce-core.o
  CC [M]  arch/arm64/crypto/sha3-ce-glue.o
  AS [M]  arch/arm64/crypto/sha3-ce-core.o
  CC [M]  arch/arm64/crypto/sm3-ce-glue.o
  CC [M]  fs/nfs/blocklayout/blocklayout.o
  AS [M]  arch/arm64/crypto/sm3-ce-core.o
  AS [M]  arch/arm64/crypto/crct10dif-ce-core.o
  CC [M]  arch/arm64/crypto/crct10dif-ce-glue.o
  CC [M]  arch/arm64/crypto/aes-glue-neon.o
  CC [M]  fs/nfs/blocklayout/dev.o
  AS [M]  arch/arm64/crypto/aes-neon.o
  CC [M]  arch/arm64/crypto/sha512-glue.o
  PERLASM arch/arm64/crypto/sha512-core.S
  AS [M]  arch/arm64/crypto/chacha-neon-core.o
  CC [M]  fs/nfs/blocklayout/extent_tree.o
  CC [M]  arch/arm64/crypto/chacha-neon-glue.o
  AS [M]  arch/arm64/crypto/aes-neonbs-core.o
  CC [M]  arch/arm64/crypto/aes-neonbs-glue.o
  CC [M]  fs/nfs/blocklayout/rpc_pipefs.o
  LD [M]  arch/arm64/crypto/sha512-ce.o
  LD [M]  arch/arm64/crypto/sha3-ce.o
  LD [M]  arch/arm64/crypto/sm3-ce.o
  LD [M]  arch/arm64/crypto/crct10dif-ce.o
  LD [M]  arch/arm64/crypto/aes-neon-blk.o
  AS [M]  arch/arm64/crypto/sha512-core.o
  LD [M]  arch/arm64/crypto/chacha-neon.o
  LD [M]  arch/arm64/crypto/aes-neon-bs.o
  LD [M]  arch/arm64/crypto/sha512-arm64.o
  CC [M]  crypto/crypto_engine.o
  LD [M]  fs/nfs/blocklayout/blocklayoutdriver.o
  CC [M]  fs/fuse/dev.o
  CC [M]  crypto/dh.o
  CC [M]  crypto/dh_helper.o
  CC [M]  crypto/cmac.o
  CC [M]  crypto/md5.o
  CC [M]  fs/fuse/dir.o
  CC [M]  crypto/sha256_generic.o
  CC [M]  crypto/sha3_generic.o
  CC [M]  fs/fuse/file.o
  CC [M]  crypto/sm3.o
  CC [M]  crypto/sm3_generic.o
  CC [M]  crypto/blake2b_generic.o
  CC [M]  fs/fuse/inode.o
  CC [M]  crypto/ecb.o
  CC [M]  crypto/cbc.o
  CC [M]  fs/fuse/control.o
  CC [M]  crypto/xts.o
  CC [M]  fs/fuse/xattr.o
  CC [M]  crypto/ctr.o
  CC [M]  fs/fuse/acl.o
  CC [M]  crypto/gcm.o
  CC [M]  fs/fuse/readdir.o
  CC [M]  crypto/ccm.o
  CC [M]  fs/fuse/ioctl.o
  CC [M]  crypto/des_generic.o
  CC [M]  fs/fuse/cuse.o
  CC [M]  crypto/sm4.o
  LD [M]  fs/fuse/fuse.o
  CC [M]  fs/overlayfs/super.o
  CC [M]  crypto/sm4_generic.o
  CC [M]  crypto/michael_mic.o
  CC [M]  crypto/authenc.o
  CC [M]  fs/overlayfs/namei.o
  CC [M]  crypto/authencesn.o
  CC [M]  fs/overlayfs/util.o
  CC [M]  crypto/xxhash_generic.o
  CC [M]  fs/overlayfs/inode.o
  CC [M]  crypto/ghash-generic.o
  CC [M]  crypto/af_alg.o
  CC [M]  fs/overlayfs/file.o
  CC [M]  fs/overlayfs/dir.o
  CC [M]  crypto/algif_rng.o
  CC [M]  fs/overlayfs/readdir.o
  CC [M]  crypto/ecc.o
  CC [M]  fs/overlayfs/copy_up.o
  CC [M]  crypto/curve25519-generic.o
  CC [M]  fs/overlayfs/export.o
  CC [M]  crypto/ecdh.o
  LD [M]  fs/overlayfs/overlay.o
  CC [M]  crypto/ecdh_helper.o
  CC [M]  fs/btrfs/super.o
  CC [M]  crypto/xor.o
  LD [M]  crypto/dh_generic.o
  LD [M]  crypto/ecdh_generic.o
  CC [M]  arch/arm64/lib/xor-neon.o
  CC [M]  fs/btrfs/ctree.o
  CC [M]  lib/crypto/libchacha.o
  CC [M]  lib/crypto/curve25519-hacl64.o
  CC [M]  fs/btrfs/extent-tree.o
  CC [M]  lib/crypto/curve25519-generic.o
  CC [M]  lib/crypto/des.o
  CC [M]  lib/crypto/sha256.o
  CC [M]  fs/btrfs/print-tree.o
  LD [M]  lib/crypto/libcurve25519-generic.o
  LD [M]  lib/crypto/libdes.o
  LD [M]  lib/crypto/libsha256.o
  CC [M]  lib/zstd/zstd_compress_module.o
  CC [M]  fs/btrfs/root-tree.o
  CC [M]  lib/zstd/compress/fse_compress.o
  CC [M]  lib/zstd/compress/hist.o
  CC [M]  lib/zstd/compress/huf_compress.o
  CC [M]  lib/zstd/compress/zstd_compress.o
  CC [M]  fs/btrfs/dir-item.o
  CC [M]  fs/btrfs/file-item.o
  CC [M]  lib/zstd/compress/zstd_compress_literals.o
  CC [M]  lib/zstd/compress/zstd_compress_sequences.o
  CC [M]  fs/btrfs/inode-item.o
  CC [M]  lib/zstd/compress/zstd_compress_superblock.o
  CC [M]  lib/zstd/compress/zstd_double_fast.o
  CC [M]  fs/btrfs/disk-io.o
  CC [M]  lib/zstd/compress/zstd_fast.o
  CC [M]  fs/btrfs/transaction.o
  CC [M]  lib/zstd/compress/zstd_lazy.o
  CC [M]  fs/btrfs/inode.o
  CC [M]  lib/zstd/compress/zstd_ldm.o
  CC [M]  lib/zstd/compress/zstd_opt.o
  LD [M]  lib/zstd/zstd_compress.o
  CC [M]  lib/raid6/algos.o
  CC [M]  fs/btrfs/file.o
  CC [M]  lib/raid6/recov.o
  HOSTCC  lib/raid6/mktables
  UNROLL  lib/raid6/int1.c
  UNROLL  lib/raid6/int2.c
  UNROLL  lib/raid6/int4.c
  UNROLL  lib/raid6/int8.c
  UNROLL  lib/raid6/int16.c
  UNROLL  lib/raid6/int32.c
  CC [M]  lib/raid6/neon.o
  UNROLL  lib/raid6/neon1.c
  UNROLL  lib/raid6/neon2.c
  UNROLL  lib/raid6/neon4.c
  UNROLL  lib/raid6/neon8.c
  CC [M]  lib/raid6/recov_neon.o
  CC [M]  fs/btrfs/tree-defrag.o
